tauSyn,tauMem,theta,seed
0.5,20.0,1.0,1234
0.5,20.0,10.0,1234
0.5,20.0,15.0,1234
0.5,25.0,1.0,1234
0.5,25.0,10.0,1234
0.5,25.0,15.0,1234
0.5,30.0,1.0,1234
0.5,30.0,10.0,1234
0.5,30.0,15.0,1234
1.0,20.0,1.0,1234
1.0,20.0,10.0,1234
1.0,20.0,15.0,1234
1.0,25.0,1.0,1234
1.0,25.0,10.0,1234
1.0,25.0,15.0,1234
1.0,30.0,1.0,1234
1.0,30.0,10.0,1234
1.0,30.0,15.0,1234
2.0,20.0,1.0,1234
2.0,20.0,10.0,1234
2.0,20.0,15.0,1234
2.0,25.0,1.0,1234
2.0,25.0,10.0,1234
2.0,25.0,15.0,1234
2.0,30.0,1.0,1234
2.0,30.0,10.0,1234
2.0,30.0,15.0,1234
0.5,20.0,1.0,1357
0.5,20.0,10.0,1357
0.5,20.0,15.0,1357
0.5,25.0,1.0,1357
0.5,25.0,10.0,1357
0.5,25.0,15.0,1357
0.5,30.0,1.0,1357
0.5,30.0,10.0,1357
0.5,30.0,15.0,1357
1.0,20.0,1.0,1357
1.0,20.0,10.0,1357
1.0,20.0,15.0,1357
1.0,25.0,1.0,1357
1.0,25.0,10.0,1357
1.0,25.0,15.0,1357
1.0,30.0,1.0,1357
1.0,30.0,10.0,1357
1.0,30.0,15.0,1357
2.0,20.0,1.0,1357
2.0,20.0,10.0,1357
2.0,20.0,15.0,1357
2.0,25.0,1.0,1357
2.0,25.0,10.0,1357
2.0,25.0,15.0,1357
2.0,30.0,1.0,1357
2.0,30.0,10.0,1357
2.0,30.0,15.0,1357
0.5,20.0,1.0,1480
0.5,20.0,10.0,1480
0.5,20.0,15.0,1480
0.5,25.0,1.0,1480
0.5,25.0,10.0,1480
0.5,25.0,15.0,1480
0.5,30.0,1.0,1480
0.5,30.0,10.0,1480
0.5,30.0,15.0,1480
1.0,20.0,1.0,1480
1.0,20.0,10.0,1480
1.0,20.0,15.0,1480
1.0,25.0,1.0,1480
1.0,25.0,10.0,1480
1.0,25.0,15.0,1480
1.0,30.0,1.0,1480
1.0,30.0,10.0,1480
1.0,30.0,15.0,1480
2.0,20.0,1.0,1480
2.0,20.0,10.0,1480
2.0,20.0,15.0,1480
2.0,25.0,1.0,1480
2.0,25.0,10.0,1480
2.0,25.0,15.0,1480
2.0,30.0,1.0,1480
2.0,30.0,10.0,1480
2.0,30.0,15.0,1480
0.5,20.0,1.0,1603
0.5,20.0,10.0,1603
0.5,20.0,15.0,1603
0.5,25.0,1.0,1603
0.5,25.0,10.0,1603
0.5,25.0,15.0,1603
0.5,30.0,1.0,1603
0.5,30.0,10.0,1603
0.5,30.0,15.0,1603
1.0,20.0,1.0,1603
1.0,20.0,10.0,1603
1.0,20.0,15.0,1603
1.0,25.0,1.0,1603
1.0,25.0,10.0,1603
1.0,25.0,15.0,1603
1.0,30.0,1.0,1603
1.0,30.0,10.0,1603
1.0,30.0,15.0,1603
2.0,20.0,1.0,1603
2.0,20.0,10.0,1603
2.0,20.0,15.0,1603
2.0,25.0,1.0,1603
2.0,25.0,10.0,1603
2.0,25.0,15.0,1603
2.0,30.0,1.0,1603
2.0,30.0,10.0,1603
2.0,30.0,15.0,1603
0.5,20.0,1.0,1726
0.5,20.0,10.0,1726
0.5,20.0,15.0,1726
0.5,25.0,1.0,1726
0.5,25.0,10.0,1726
0.5,25.0,15.0,1726
0.5,30.0,1.0,1726
0.5,30.0,10.0,1726
0.5,30.0,15.0,1726
1.0,20.0,1.0,1726
1.0,20.0,10.0,1726
1.0,20.0,15.0,1726
1.0,25.0,1.0,1726
1.0,25.0,10.0,1726
1.0,25.0,15.0,1726
1.0,30.0,1.0,1726
1.0,30.0,10.0,1726
1.0,30.0,15.0,1726
2.0,20.0,1.0,1726
2.0,20.0,10.0,1726
2.0,20.0,15.0,1726
2.0,25.0,1.0,1726
2.0,25.0,10.0,1726
2.0,25.0,15.0,1726
2.0,30.0,1.0,1726
2.0,30.0,10.0,1726
2.0,30.0,15.0,1726
